Gene	Gene set name	Category
AT1G17290	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT1G23310	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT1G29900	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT1G36280	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT1G48470	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT1G51720	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT1G62800	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT1G70580	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT1G79440	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT2G02000	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT2G13360	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT2G16570	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT2G30970	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT3G03910	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT3G17760	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT3G17820	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT3G20330	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT3G24090	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT3G27740	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT3G47340	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT3G57610	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT4G18440	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT4G24830	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT4G31990	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT4G34740	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT4G38880	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT4G39660	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT5G07440	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT5G10240	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT5G10920	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT5G11520	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT5G14760	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT5G16570	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT5G17330	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT5G18170	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT5G19550	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT5G35630	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT5G37600	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT5G53460	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT5G62530	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT5G65010	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG
AT1G06290	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT1G06310	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT1G13280	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT1G17420	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT1G19640	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT1G20510	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT1G55020	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT1G67560	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT1G72520	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT1G76680	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT1G76690	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT2G06050	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT2G33150	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT2G35690	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT3G01420	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT3G06860	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT3G22400	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT3G25760	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT3G25770	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT3G25780	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT3G45140	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT3G51840	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT4G15440	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT4G16760	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT4G29010	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT5G42650	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT5G48880	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT5G65110	KEGG_ALPHA-LINOLENIC_ACID_METABOLISM	KEGG
AT1G09620	KEGG_AMINOACYL-TRNA_BIOSYNTHESIS	KEGG
AT1G11870	KEGG_AMINOACYL-TRNA_BIOSYNTHESIS	KEGG
AT1G14610	KEGG_AMINOACYL-TRNA_BIOSYNTHESIS	KEGG
AT1G17960	KEGG_AMINOACYL-TRNA_BIOSYNTHESIS	KEGG
AT1G25350	KEGG_AMINOACYL-TRNA_BIOSYNTHESIS	KEGG
AT1G29870	KEGG_AMINOACYL-TRNA_BIOSYNTHESIS	KEGG
AT1G29880	KEGG_AMINOACYL-TRNA_BIOSYNTHESIS	KEGG
AT1G48520	KEGG_AMINOACYL-TRNA_BIOSYNTHESIS	KEGG
AT1G50200	KEGG_AMINOACYL-TRNA_BIOSYNTHESIS	KEGG
AT1G66520	KEGG_AMINOACYL-TRNA_BIOSYNTHESIS	KEGG
