Gene	Gene set name	Category
LOC_Os01g06660	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g16960	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g52450	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g67860	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g64660	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g05490	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g02880	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g71320	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g53930	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g09460	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g23610	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g22520	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g46950	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g47080	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g09570	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g62420	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os01g60190	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os02g01500	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os02g01510	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os02g07260	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os02g07490	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os02g32490	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os02g36600	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os02g38920	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os02g42520	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os02g43194	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os02g43280	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os02g49720	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os02g50620	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os02g51590	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
LOC_Os02g57040	KEGG_GLYCOLYSIS_/_GLUCONEOGENESIS	KEGG
