Gene	Gene set name	Category
Solyc00g185850.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc01g005380.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc01g006220.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc01g006880.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc01g034050.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc01g068370.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc01g079390.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc01g087310.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc01g087380.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc01g087410.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc01g087420.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc01g087430.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc01g095890.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc02g068050.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc02g081320.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc02g089970.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc02g093190.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc02g093200.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc02g094520.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc03g044380.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc03g051930.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc03g051950.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc03g082860.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc03g083410.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc03g093700.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc03g093710.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc03g093720.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc03g093740.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc03g093760.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc03g095240.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc03g112690.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc04g024600.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc04g057880.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc04g058190.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc04g071570.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc05g007760.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc05g023670.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc05g023680.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc05g040060.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc05g050000.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc06g008130.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc06g030540.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc06g059960.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc06g060390.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc06g060960.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc06g083760.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc07g006050.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc07g006060.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc07g008460.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc07g008500.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc07g008510.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc07g008580.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc07g017920.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc07g052570.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc07g052940.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc08g016560.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc08g044550.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc08g044560.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc08g044590.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc08g044600.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc08g067920.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc08g077940.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc09g060000.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc09g066090.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc09g072890.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc09g082050.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc09g090030.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc09g090630.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc09g090810.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc09g098250.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc09g098260.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc10g006090.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc10g051140.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc10g051150.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc10g073350.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc10g074370.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc10g077070.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc11g005730.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc12g096990.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc12g100290.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc00g012640.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc00g015000.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc01g006100.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc02g062740.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc04g005250.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc05g053260.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc05g053270.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc08g005400.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc10g078190.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc11g030600.2	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc12g100330.1	KEGG_MICRORNAS_IN_CANCER	KEGG
Solyc01g009470.1	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc01g057360.1	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc01g057370.1	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc03g114360.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc03g117970.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc04g077070.1	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc04g077080.1	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc04g077090.1	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc04g077100.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc05g005280.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc05g005290.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc08g005270.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc08g005520.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc08g074730.1	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc08g074740.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc08g076420.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc09g008450.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc11g067250.1	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc01g007490.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc01g099690.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc01g100520.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc02g091280.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc04g009310.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc08g075750.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc08g077890.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc08g079620.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc09g065790.1	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc10g049710.1	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc10g051310.1	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc01g104200.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc06g074390.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc06g074410.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc11g067170.1	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc11g067180.1	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc11g067190.1	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc08g081010.2	KEGG_LONGEVITY_REGULATING_PATHWAY_-_WORM	KEGG
Solyc02g085350.2	KEGG_LEGIONELLOSIS	KEGG
Solyc04g055020.1	KEGG_LEGIONELLOSIS	KEGG
Solyc04g055030.1	KEGG_LEGIONELLOSIS	KEGG
Solyc06g073360.2	KEGG_LEGIONELLOSIS	KEGG
Solyc06g073900.2	KEGG_LEGIONELLOSIS	KEGG
Solyc11g071790.1	KEGG_LEGIONELLOSIS	KEGG
Solyc09g013070.2	KEGG_PROSTATE_CANCER	KEGG
Solyc10g086500.1	KEGG_PROSTATE_CANCER	KEGG
Solyc11g006270.1	KEGG_PROSTATE_CANCER	KEGG
Solyc11g006290.1	KEGG_PROSTATE_CANCER	KEGG
Solyc11g006300.1	KEGG_PROSTATE_CANCER	KEGG
Solyc01g060180.2	KEGG_BUTANOATE_METABOLISM	KEGG
Solyc02g082870.2	KEGG_BUTANOATE_METABOLISM	KEGG
Solyc02g082910.2	KEGG_BUTANOATE_METABOLISM	KEGG
Solyc07g018240.1	KEGG_BUTANOATE_METABOLISM	KEGG
Solyc08g075810.2	KEGG_BUTANOATE_METABOLISM	KEGG
Solyc10g012100.1	KEGG_BUTANOATE_METABOLISM	KEGG
Solyc12g099360.1	KEGG_BUTANOATE_METABOLISM	KEGG
Solyc02g062430.2	KEGG_BUTANOATE_METABOLISM	KEGG
Solyc10g079440.1	KEGG_BUTANOATE_METABOLISM	KEGG
Solyc12g099440.1	KEGG_BUTANOATE_METABOLISM	KEGG
Solyc11g050770.1	KEGG_BUTANOATE_METABOLISM	KEGG
Solyc07g040950.2	"KEGG_VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	KEGG
Solyc01g016610.1	"KEGG_VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	KEGG
Solyc01g028900.2	"KEGG_VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	KEGG
Solyc04g025710.1	"KEGG_VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	KEGG
Solyc04g063350.2	"KEGG_VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	KEGG
Solyc05g040080.1	"KEGG_VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	KEGG
Solyc05g056480.2	"KEGG_VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	KEGG
Solyc06g043360.1	"KEGG_VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	KEGG
Solyc06g059840.2	"KEGG_VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	KEGG
Solyc06g059850.1	"KEGG_VALINE,_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	KEGG
