Gene	Gene set name	Category
GRMZM2G096952	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G131785	KEGG_ABC_TRANSPORTERS	KEGG
AC203985.4_FG001	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G104942	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G124136	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM5G834518	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM5G843302	KEGG_ABC_TRANSPORTERS	KEGG
AC233878.1_FG004	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM5G889923	KEGG_ABC_TRANSPORTERS	KEGG
AC233882.1_FG003	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G004748	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G006310	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G014089	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G025860	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G072850	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G082385	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G085111	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G085236	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G086730	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G111462	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G119894	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G125424	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G153961	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G167658	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G315375	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G333183	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G441722	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM5G836897	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM5G843192	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM5G843537	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM5G891159	KEGG_ABC_TRANSPORTERS	KEGG
GRMZM2G032936	KEGG_ABC_TRANSPORTERS	KEGG
AC194112.3_FG001	KEGG_ABC_TRANSPORTERS	KEGG
